load,prefill_priority,decode_policy,cache_policy,cache_budget,makespan_ms,lat_p50,lat_p90,lat_p95,lat_p99,ttft_p50,tpot_p50,throughput_rps,throughput_tokens_s,prefill_hit_rate
0.7,0.5,slo,lru,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.5,slo,lru,32768,209777,60575.3,101013,105890,109856,60550.7,0.752551,23.8348,655.792,0.248371
0.7,0.5,slo,lru,65536,196138,55233.8,88726.7,92813.6,96384.4,55228.1,0.790816,25.4922,701.393,0.29736
0.7,0.5,slo,lfu,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.5,slo,lfu,32768,210123,60285.7,101429,105987,110029,60284.6,0.752551,23.7956,654.713,0.24714
0.7,0.5,slo,lfu,65536,196035,55233.8,88811.6,92759.6,96399,55228.1,0.790816,25.5056,701.762,0.297688
0.7,0.5,slo,cost,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.5,slo,cost,32768,210123,60285.7,101429,105987,110029,60284.6,0.752551,23.7956,654.713,0.24714
0.7,0.5,slo,cost,65536,196035,55233.8,88811.6,92759.6,96399,55228.1,0.790816,25.5056,701.762,0.297688
0.7,0.7,fcfs,lru,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.7,fcfs,lru,32768,209777,60575.3,101013,105890,109856,60550.7,0.752551,23.8348,655.792,0.248371
0.7,0.7,fcfs,lru,65536,196138,55233.8,88726.7,92813.6,96384.4,55228.1,0.790816,25.4922,701.393,0.29736
0.7,0.7,fcfs,lfu,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.7,fcfs,lfu,32768,210123,60285.7,101429,105987,110029,60284.6,0.752551,23.7956,654.713,0.24714
